species,family,microhabitat,n,svl,thigh.L,crus.L,tarsus.L,foot.L,head.L,head.W,hand.L,forearm.L,upper.arm.L,thigh.W,thigh.D,crus.W,crus.D,thigh.mass,crus.mass,inner.mtt,foot.web,foot.pad,hand.pad,thigh.v,crus.v,svl_sd,thigh.L_sd,crus.L_sd,tarsus.L_sd,foot.L_sd,head.L_sd,head.W_sd,hand.L_sd,forearm.L_sd,upper.arm.L_sd,thigh.W_sd,thigh.D_sd,crus.W_sd,crus.D_sd,thigh.mass_sd,crus.mass_sd,inner.mtt_sd,foot.web_sd,foot.pad_sd,hand.pad_sd,thigh.v_sd,crus.v_sd,svl_se,thigh.L_se,crus.L_se,tarsus.L_se,foot.L_se,head.L_se,head.W_se,hand.L_se,forearm.L_se,upper.arm.L_se,thigh.W_se,thigh.D_se,crus.W_se,crus.D_se,thigh.mass_se,crus.mass_se,inner.mtt_se,foot.web_se,foot.pad_se,hand.pad_se,thigh.v_se,crus.v_se,svl_IvesEA_se,thigh.L_IvesEA_se,crus.L_IvesEA_se,tarsus.L_IvesEA_se,foot.L_IvesEA_se,head.L_IvesEA_se,head.W_IvesEA_se,hand.L_IvesEA_se,forearm.L_IvesEA_se,upper.arm.L_IvesEA_se,thigh.W_IvesEA_se,thigh.D_IvesEA_se,crus.W_IvesEA_se,crus.D_IvesEA_se,thigh.mass_IvesEA_se,crus.mass_IvesEA_se,inner.mtt_IvesEA_se,foot.web_IvesEA_se,foot.pad_IvesEA_se,hand.pad_IvesEA_se,thigh.v_IvesEA_se,crus.v_IvesEA_se
Acris_crepitans,Hylidae,terrestrial,5,18.424,9.598,10.396,4.786,9.924,6.04,6.336,5.142,3.046,2.846,2.244,2.682,1.258,2.192,0.031,0.011,0.355,7.408,1.493,0.917,15.096,7.539,0.714,0.57,0.519,0.459,0.431,0.189,0.374,0.204,0.111,0.189,0.366,0.237,0.106,0.151,0.004,0.002,0.061,1.001,0.061,0.125,2.787,1.229,0.319,0.255,0.232,0.205,0.193,0.085,0.167,0.091,0.05,0.084,0.164,0.106,0.048,0.068,0.002,0.001,0.027,0.448,0.027,0.056,1.247,0.55,1.948,1.013,0.954,0.535,0.976,0.619,0.753,0.568,0.456,0.486,0.412,0.393,0.287,0.297,0.165,0.06,0.462,9.887,1.39,1.278,98.529,42.196
Acris_gryllus,Hylidae,terrestrial,5,19.992,10.22,11.312,5.396,10.944,6.036,6.572,5.564,3.284,3.134,2.256,2.266,1.4,2.268,0.032,0.014,0.299,6.45,1.553,1.011,13.818,9.386,0.961,0.636,0.536,0.445,0.793,0.556,0.296,0.325,0.24,0.236,0.194,0.165,0.154,0.166,0.003,0.002,0.08,1.193,0.261,0.136,2.827,1.123,0.43,0.284,0.24,0.199,0.355,0.249,0.132,0.145,0.107,0.106,0.087,0.074,0.069,0.074,0.001,0.001,0.036,0.534,0.117,0.061,1.264,0.502,1.948,1.013,0.954,0.535,0.976,0.619,0.753,0.568,0.456,0.486,0.412,0.393,0.287,0.297,0.165,0.06,0.462,9.887,1.39,1.278,98.529,42.196
Adelophryne_gutturosa,Eleutherodactylidae,terrestrial,3,14.81,7.323,7.287,4.437,6.657,4.393,4.797,2.727,3.3,2.997,1.733,2.14,0.553,1.983,NA,NA,0.165,0.155,0.64,0.195,7.811,2.149,2.496,1.305,1.402,1.222,1.844,0.848,0.68,0.82,0.921,0.395,0.351,0.665,0.025,0.554,NA,NA,0.111,0.063,0.295,0.116,5.198,0.938,1.441,0.754,0.81,0.706,1.065,0.49,0.393,0.473,0.532,0.228,0.203,0.384,0.015,0.32,NA,NA,0.064,0.036,0.17,0.067,3.001,0.542,2.515,1.308,1.232,0.691,1.26,0.8,0.972,0.733,0.589,0.627,0.532,0.508,0.371,0.384,0.213,0.078,0.597,12.765,1.795,1.65,127.201,54.475
Adelotus_brevis,Myobatrachidae,NA,5,38.834,16.276,16.724,9.636,19.262,14.616,18.88,10.16,7.04,6.188,4.302,5.696,1.286,4.478,NA,NA,1.081,6.215,1.364,0.988,106.727,25.738,2.145,0.747,1.048,0.788,1.804,1.676,1.399,1.169,0.35,1.137,0.62,0.748,0.274,0.575,NA,NA,0.236,1.27,0.461,0.272,32.237,8.262,0.959,0.334,0.469,0.352,0.807,0.75,0.626,0.523,0.157,0.509,0.277,0.335,0.123,0.257,NA,NA,0.106,0.568,0.206,0.121,14.417,3.695,1.948,1.013,0.954,0.535,0.976,0.619,0.753,0.568,0.456,0.486,0.412,0.393,0.287,0.297,0.165,0.06,0.462,9.887,1.39,1.278,98.529,42.196
Adelphobates_castaneoticus,Dendrobatidae,terrestrial,5,13.896,5.902,6.262,3.526,5.686,3.808,4.324,3.618,2.876,3.536,1.45,2.07,0.386,1.652,NA,NA,0.154,0.157,0.662,0.481,4.585,1.074,1.086,0.181,0.861,0.327,0.546,0.402,0.33,0.45,0.302,0.367,0.256,0.343,0.078,0.086,NA,NA,0.033,0.106,0.195,0.156,0.774,0.373,0.486,0.081,0.385,0.146,0.244,0.18,0.148,0.201,0.135,0.164,0.114,0.153,0.035,0.038,NA,NA,0.015,0.047,0.087,0.07,0.346,0.167,1.948,1.013,0.954,0.535,0.976,0.619,0.753,0.568,0.456,0.486,0.412,0.393,0.287,0.297,0.165,0.06,0.462,9.887,1.39,1.278,98.529,42.196
Adenomera_andreae,Leptodactylidae,terrestrial,5,21.316,8.8,9.928,5.562,11.292,7.064,7.418,4.974,4.37,3.726,2.472,2.936,1.686,2.848,0.033,0.016,0.385,0.203,1.359,0.748,16.759,12.499,0.614,0.316,0.397,0.301,0.237,0.52,0.444,0.217,0.355,0.551,0.144,0.271,0.166,0.271,0.004,0.002,0.057,0.052,0.118,0.109,2.246,1.913,0.275,0.141,0.178,0.135,0.106,0.232,0.198,0.097,0.159,0.246,0.064,0.121,0.074,0.121,0.002,0.001,0.026,0.023,0.053,0.049,1.004,0.856,1.948,1.013,0.954,0.535,0.976,0.619,0.753,0.568,0.456,0.486,0.412,0.393,0.287,0.297,0.165,0.06,0.462,9.887,1.39,1.278,98.529,42.196
Adenomera_hylaedactyla,Leptodactylidae,terrestrial,9,24.786,10.179,11.651,6.573,13.2,7.798,8.499,5.694,4.626,5.15,3.888,3.833,3.62,2.547,0.057,0.032,0.594,0.148,2.078,0.989,38.271,27.924,1.405,0.92,0.477,0.6,0.93,0.611,0.405,0.397,0.284,0.497,0.868,0.951,0.562,0.528,0.012,0.008,0.174,0.079,0.535,0.253,7.501,6.331,0.468,0.307,0.159,0.2,0.31,0.204,0.135,0.132,0.095,0.166,0.289,0.317,0.187,0.176,0.004,0.003,0.058,0.026,0.178,0.084,2.5,2.11,1.452,0.755,0.711,0.399,0.728,0.462,0.561,0.423,0.34,0.362,0.307,0.293,0.214,0.222,0.123,0.045,0.345,7.37,1.036,0.953,73.439,31.451
Afrixalus_delicatus,Hyperoliidae,arboreal,5,18.494,7.374,7.814,4.656,7.408,4.768,5.544,4.508,3.162,3.058,1.364,1.844,1.04,1.688,NA,NA,0.347,3.558,1.944,1.761,4.942,3.591,1.45,0.444,0.385,0.255,0.441,0.296,0.297,0.289,0.255,0.586,0.165,0.313,0.035,0.103,NA,NA,0.052,0.75,0.371,0.311,1.469,0.307,0.648,0.198,0.172,0.114,0.197,0.132,0.133,0.129,0.114,0.262,0.074,0.14,0.016,0.046,NA,NA,0.023,0.336,0.166,0.139,0.657,0.137,1.948,1.013,0.954,0.535,0.976,0.619,0.753,0.568,0.456,0.486,0.412,0.393,0.287,0.297,0.165,0.06,0.462,9.887,1.39,1.278,98.529,42.196
Afrixalus_dorsalis,Hyperoliidae,arboreal,5,25.576,10.56,11.356,5.92,10.538,6.348,6.596,7.282,4.792,5.336,1.546,2.262,1.248,2.102,NA,NA,0.37,8.743,3.457,4.304,9.753,7.889,0.84,0.549,0.395,0.238,0.703,0.291,0.284,0.459,0.313,0.657,0.164,0.199,0.146,0.257,NA,NA,0.046,2.053,0.693,0.446,2.029,1.887,0.376,0.245,0.177,0.107,0.314,0.13,0.127,0.205,0.14,0.294,0.074,0.089,0.065,0.115,NA,NA,0.021,0.918,0.31,0.199,0.907,0.844,1.948,1.013,0.954,0.535,0.976,0.619,0.753,0.568,0.456,0.486,0.412,0.393,0.287,0.297,0.165,0.06,0.462,9.887,1.39,1.278,98.529,42.196
Afrixalus_fornasini,Hyperoliidae,arboreal,3,33.997,14.29,15.943,7.6,15.073,8.557,10.303,9.83,5.8,5.947,2.993,2.08,2.967,1.723,NA,NA,1.037,21.153,4.84,5.553,23.268,22.624,5.567,2.288,3.1,1.316,2.853,1.123,1.644,1.493,1.285,1.861,0.332,0.161,0.75,0.177,NA,NA,0.268,10.804,1.212,1.479,4.579,10.722,3.214,1.321,1.79,0.76,1.647,0.649,0.949,0.862,0.742,1.075,0.192,0.093,0.433,0.102,NA,NA,0.155,6.238,0.7,0.854,2.644,6.19,2.515,1.308,1.232,0.691,1.26,0.8,0.972,0.733,0.589,0.627,0.532,0.508,0.371,0.384,0.213,0.078,0.597,12.765,1.795,1.65,127.201,54.475
