family,stem.age,crown.age,n,ratio.sigma,crown_low,crown_med,crown_high,stem_low,stem_med,stem_high,bd_rates
Alsodidae,62.86034579,53.33127533,26,0.001059669,0.048094656,0.043325257,0.022509731,0.051830713,0.041404317,0.019929304,0.006920022
Alytidae,166.9172348,113.1048218,12,0.001840733,0.015841583,0.013917655,0.006086178,0.014887059,0.011213954,0.004444942,0.002221764
Arthroleptidae,111.0408991,94.88417873,153,0.001113545,0.045711422,0.042740457,0.028809376,0.045302568,0.039118968,0.02508095,0.030234059
Ascaphidae,160.2594647,11.55284848,2,0.000276477,0,0,0,0.004325156,0.002530054,0.000594724,0.002530054
Batrachylidae,69.24662954,37.41718611,13,0.000560542,0.050025199,0.044072884,0.019645666,0.037040783,0.028101153,0.01138622,0.01817507
Bombinatoridae,166.9172348,85.85946772,10,0.000696973,0.018745026,0.01636297,0.006845916,0.013794771,0.010213134,0.003845342,0.001919019
Brachycephalidae,87.72510037,81.83675167,76,0.001570162,0.044449298,0.041075652,0.025519592,0.049367095,0.041614751,0.024395141,0.038142749
Brevicipitidae,98.33203482,69.43331528,36,0.001143585,0.041628025,0.037833835,0.020913188,0.036443047,0.029672637,0.015295904,0.037588369
Bufonidae,80.6243585,76.72541057,632,0.002028924,0.075017418,0.071286228,0.053556071,0.079986861,0.071409229,0.051602821,0.06385625
Centrolenidae,65.18431577,39.44901668,159,0.000945564,0.110921827,0.103770446,0.070215383,0.077762636,0.067225169,0.043283094,0.070770612
Ceratobatrachidae,101.0298379,93.53105541,102,0.001427469,0.042037649,0.039054423,0.025183133,0.045778286,0.039014037,0.023824101,0.022318275
Ceratophryidae,89.52272357,40.92633517,12,0.000313828,0.04378011,0.038463104,0.016819881,0.027757273,0.020908682,0.008287699,0.020707631
Conrauidae,109.200865,42.53804508,7,0.00025983,0.029450412,0.025400752,0.009745083,0.017819549,0.012694903,0.004304028,0.012694903
Craugastoridae,86.1742895,83.46348383,123,0.001022185,0.049351369,0.045990685,0.030297312,0.05584246,0.047892874,0.02994184,0.034361655
Cycloramphidae,72.39951056,65.39098769,37,0.005933016,0.04462038,0.040581804,0.022542413,0.049874894,0.040669322,0.021078268,0.020404016
Dendrobatidae,115.4558567,88.15596798,336,0.001115538,0.058123847,0.054890466,0.039584292,0.050383855,0.044406026,0.030669378,0.04481801
Dicroglossidae,96.9996249,85.08342976,226,0.001006297,0.055561792,0.052226706,0.036500601,0.05588202,0.048781661,0.032546522,0.04349373
Eleutherodactylidae,87.72510037,76.67877473,232,0.001832592,0.06199356,0.058291601,0.040830212,0.062088699,0.054236373,0.036274816,0.054552999
